name,address,phone,website,category,rating,search_query,scraped_at,email,status,sent_at,response_date,subject,followup_sent_at
Oca Oriental Porto Hotel,"R. do Padre António Vieira 83, 4300-031 Porto, Portugal",,https://www.ocahotels.com/hoteles/oca-oriental-porto-hotel,Hotel,"4,6 estrelas",hotéis Porto,2026-03-19T20:49:33.042218,reservas.oriental@ocahotels.pt,followup_sent,,,,
OCA Ribeira do Porto Hotel,"Praça Ribeira 5, 4050-513 Porto, Portugal",,https://www.ocahotels.com/hoteles/oca-ribeira-porto-hotel,Hotel,"4,6 estrelas",hotéis Porto,2026-03-19T20:49:35.540539,reservas.hotelribeira@ocahotels.pt,followup_sent,,,,
The One Monumental Palace,"Av. dos Aliados 151, 4000-067 Porto, Portugal",,https://www.hotelstheone.com/en/porto-hotels/the-one-monumental-palace?utm_source=google_my_business&utm_medium=boton_sitio_web&utm_campaign=tmp,Hotel,"4,8 estrelas",hotel Porto centro,2026-03-19T20:50:08.242373,reservations.hto@hotelstheone.com,followup_sent,,,,
Hilton Porto Gaia,"Rua da Alegria 147, 4000-042 Porto, Portugal",,http://www.decantingporto.com/,Hotel,"4,4 estrelas",hotel Porto Boavista,2026-03-19T20:50:47.370748,geral@decantingporto.com,followup_sent,,,,
Urban Garden Porto Central Hostel,"Rua da Alegria 291, 4000-044 Porto, Portugal",+351920051525,http://www.porto-hostel.com/,Hostel,"4,7 estrelas",hostels Porto,2026-03-19T21:10:20.590623,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,followup_sent,,,,
Portus Cale Hotel,"R. Beato Inácio de Azevedo 175, 4100-284 Porto, Portugal",,http://www.timbrehotels.com/boavista,Hotel,"4,4 estrelas",hotel Porto Boavista,2026-03-19T20:51:04.585955,info@timbrehotels.com,followup_sent,,,,
RS Porto Boavista Studios,"Rua da Venezuela, 227 , Lordelo do Ouro e, 4150-744 Porto, Portugal",+351938249715,https://www.rsportoboavistastudios.com/,Hotel,"4,0 estrelas",hotel Porto Boavista,2026-03-19T20:51:14.257586,info@rsportogroup.com,followup_sent,,,,
So Cool Hostel Porto,"Mercado do Bom Sucesso, Largo Ferreira Lapa, 21 a 183, 4150-323 Porto, Portugal",,https://www.hoteldamusica.com/pt-pt/,Hostel,"4,4 estrelas",hotel Porto Boavista,2026-03-19T20:51:18.731420,info@hoteldamusica.com,followup_sent,,,,
Dorma Essenzia Porto,"Rua da Torrinha 282, 4050-610 Porto, Portugal",,https://www.eurostarshotels.com.pt/dorma-essenzia-porto.html?referer_code=lb0gg00yx&utm_source=google&utm_medium=business&utm_campaign=lb0gg00yx,Hotel,"4,6 estrelas",hotel Porto Boavista,2026-03-19T20:51:26.647436,reservas@dormaessenzia.com,followup_sent,,,,
Porto Deluxe,"Av da boavista, 741 Av da boavista, 739, Av. da Boavista 938, 4100-146 Porto, Portugal",+351927214033,https://porto-deluxe.com/,Hotel,"4,8 estrelas",hotel Porto Boavista,2026-03-19T20:51:32.466343,info@porto-deluxe.com,followup_sent,,,,
Moov Apartments Boavista,"Av. da Boavista 976, 4100-112 Porto, Portugal",,https://moovapartments.com/,Hotel,"4,8 estrelas",hotel Porto Boavista,2026-03-19T20:51:35.270849,boavista@moovapartments.com,followup_sent,,,,
Porto Palácio Hotel by The Editory,"Av. da Boavista 1269, 4100-130 Porto, Portugal",,https://www.editoryhotels.com/porto-palacio/,Hotel,"4,5 estrelas",hotel Porto Boavista,2026-03-19T20:51:38.326563,portopalacio@editoryhotels.pt,followup_sent,,,,
Oca Ribeira do Porto,"-4050-296, R. do Infante Dom Henrique 1, 4050-297 Porto, Portugal",,https://www.carrisportoribeira.com/,Hotel,"4,2 estrelas",hotel Porto Ribeira,2026-03-19T20:52:19.631366,info@carrishoteles.com,followup_sent,,,,
The Editory House Ribeira Hotel,"R. do Infante Dom Henrique 26, 4050-296 Porto, Portugal",,https://www.editoryhotels.com/house-ribeira-porto/,Hotel,"4,5 estrelas",hotel Porto Ribeira,2026-03-19T20:52:22.478700,recepcao.house@editoryhotels.pt,followup_sent,,,,
Descobertas Boutique Hotel,"R. da Fonte Taurina 14 22, 4050-603 Porto, Portugal",,https://www.aspasios.com/es/destino/porto-boutique-hotels/descobertas-boutique-hotel-aspasios?utm_source=gmb&utm_medium=organic,Hotel,"4,4 estrelas",hotel Porto Ribeira,2026-03-19T20:52:41.836377,ezequiel@aspasios.com,followup_sent,,,,
Legendary Porto Hotel,"Praça da Batalha 127 130, 4000-102 Porto, Portugal",,https://www.legendaryportohotel.com/,Hotel,"4,4 estrelas",hotel Porto Ribeira,2026-03-19T20:52:47.513380,legendaryportohotel@continentalhotels.eu,followup_sent,,,,
Eurostars Porto Centro,"R. de Sampaio Bruno 77, 4000-124 Porto, Portugal",,http://www.eurostarshotels.com.pt/eurostars-porto-centro.html?referer_code=lb0gg00yx&utm_source=google&utm_medium=business&utm_campaign=lb0gg00yx,Hotel,"4,5 estrelas",hotel Porto Ribeira,2026-03-19T20:52:49.949417,reservas@eurostarsportocentro.com,followup_sent,,,,
Mercure Porto Centro Santa Catarina,"R. de Sá da Bandeira 53, 4000-069 Porto, Portugal",,https://www.portobridgeshotel.com/,Hotel,"4,4 estrelas",hotel Porto Ribeira,2026-03-19T20:52:57.114818,reservas@portobridgeshotel.com,followup_sent,,,,
Hotel NH Porto Jardim,"R. do Duque de Loulé 66, 4000-324 Porto, Portugal",,https://www.nh-hotels.com/en/hotel/nh-porto-jardim?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,Hotel,"4,7 estrelas",hotel Porto Ribeira,2026-03-19T20:52:59.976971,nhportojardim@nh-hotels.com,followup_sent,,,,
Urban Hotel Amadeos,"R. Conde Alto Mearim 1229, 4450-036 Matosinhos, Portugal",,https://hotelamadeos.com/,Hotel,"3,8 estrelas",hotel Matosinhos,2026-03-19T20:53:40.117064,amadeos@hotelurban.pt,followup_sent,,,,
VYBE Matosinhos Centro,"R. Silva Pinheiro 100, 4450-284 Matosinhos, Portugal",+351911803695,https://www.vybematosinhos.com/,Hotel,"4,8 estrelas",hotel Matosinhos,2026-03-19T20:53:42.473003,geral@vybehomes.pt,followup_sent,,,,
Sea Porto Hotel,"009, Av. Dom Afonso Henriques 354, Matosinhos, Portugal",,https://www.seaportohotel.com/,Hotel,"4,5 estrelas",hotel Matosinhos,2026-03-19T20:53:44.858352,hotel@seaportohotel.com,followup_sent,,,,
Hotel Porto Mar,"Rua de Brito Capelo 169, 4450-073 Matosinhos, Portugal",,https://www.hotelportomar.pt/,Hotel,"4,5 estrelas",hotel Matosinhos,2026-03-19T20:53:52.304356,reservas@hotelportomar.net,followup_sent,,,,
Fishtail Seahouse,"R. Godinho 224, 4450-019 Matosinhos, Portugal",,http://www.fishtail-seahouse.pt/,Hotel,"4,2 estrelas",hotel Matosinhos,2026-03-19T20:53:58.814264,info@fishtail-seahouse.pt,followup_sent,,,,
TRYP Porto Expo Hotel,"Rotunda da Exponor, Leça da Palmeira, 4450-801 Matosinhos, Portugal",,https://www.trypportoexpo.com/,Hotel,"4,2 estrelas",hotel Matosinhos,2026-03-19T20:54:01.013974,tryp.porto.expo@trypportugal.com,followup_sent,,,,
CASA RIETSCH,"Rua de Tomaz Ribeiro 234, 4450-294 Matosinhos, Portugal",+351939443348,https://www.casarietsch.com/,Hotel,"4,6 estrelas",hotel Matosinhos,2026-03-19T20:54:09.548586,geral@casarietsch.com,followup_sent,,,,
Caruma Surf Hostel,"Estr. da Circunvalação 14044, 4460-250 Matosinhos, Portugal",,http://www.oportocean.com/,Hostel,"3,9 estrelas",hotel Matosinhos,2026-03-19T20:54:14.102747,oportocean@gmail.com,followup_sent,,,,
Matosinho's Palace,"Região Norte, Rua de Brito Capelo 681, 4450-075 Matosinhos, Portugal",+351937801832,http://www.oceanporto.com/,Hotel,"4,9 estrelas",hotel Matosinhos,2026-03-19T20:54:18.678351,reservas@oceanporto.com,followup_sent,,,,
Pensão Central,"Rua de Brito Capelo 599, 4450-075 Matosinhos, Portugal",,https://www.pensaocentral.net/,Residencial,"4,4 estrelas",hotel Matosinhos,2026-03-19T20:54:20.781745,geral@pensaocentral.net,followup_sent,,,,
Del Rei,"Rua de Brito Capelo 843, 4450-076 Matosinhos, Portugal",,https://www.delreiguesthouse.com/pt/,Hotel,"3,8 estrelas",hotel Matosinhos,2026-03-19T20:54:29.847724,geral@aldelrei.pt,followup_sent,,,,
Feel Porto Matosinhos Ocean Flats,"Rua de Tomaz Ribeiro 131, 4450-296 Matosinhos, Portugal",+351965396792,https://www.feelporto.com/en/rentals/holidays-rentals-rentals-d0/review-order/?FRMNombre=ocean,Alojamento Local,"4,9 estrelas",hotel Matosinhos,2026-03-19T20:54:33.952143,b86ec823d280c53fe08af8b2035c8ad0@o242141.ingest.us.sentry.io,followup_sent,,,,
Vintagebeachhouse,"Av. da República 492, 4450-237 Matosinhos, Portugal",+351937396399,http://oceanboutiqueguesthouse.com/,Hotel,"4,8 estrelas",hotel Matosinhos,2026-03-19T20:54:43.470908,hello@oceanboutiqueguesthouse.com,followup_sent,,,,
Casa Velha,"R. Conde Alto Mearim 597, 4450-034 Matosinhos, Portugal",+351932579625,http://oportoseasidevillage.com/,Hotel,"4,9 estrelas",hotel Matosinhos,2026-03-19T20:54:48.201206,name@example.com,followup_sent,,,,
ClipHotel,"Av. da República 1559, 4430-205 Porto, Portugal",,http://www.cliphotel.pt/,Hotel,"4,3 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:04.008994,info@cliphotel.pt,followup_sent,,,,
Gaia Residence,"Edifício Hotel Holiday Inn Porto, R. Diogo Macedo 220, 4400-107 Vila Nova de Gaia, Portugal",,https://www.gaiaresidence.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Hotel,"4,4 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:10.825376,info@gaiaresidence.com,followup_sent,,,,
The Yeatman,"Rua do Choupelo, 4400-088 Vila Nova de Gaia, Portugal",,https://www.the-yeatman-hotel.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,Hotel,"4,8 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:15.151271,reception@theyeatman.com,followup_sent,,,,
Rubens Hotels & Spa,"R. Azevedo Magalhães 161 165, 4430-024 Vila Nova de Gaia, Portugal",,http://rubenshotels.com/,Hotel,"4,0 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:24.636887,reservas@rubenshotels.com,followup_sent,,,,
"The Rebello, an SLH Hotel","Cais de Gaia 380, 4400-245 Vila Nova de Gaia, Portugal",,https://www.therebello.com/,Hotel,"4,8 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:27.138386,reservations@therebello.com,followup_sent,,,,
Hostel Gaia Porto,"R. Cândido dos Reis 374, 4400-070 Vila Nova de Gaia, Portugal",+351933709501,http://www.hostelgaiaporto.pt/,Hostel,"4,5 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:31.335384,info@hostelgaiaporto.pt,followup_sent,,,,
Lost Inn Porto Hostel,"Região Norte, R. Escura 23, 4050-242 Porto, Portugal",+351926980526,http://www.lostinn.eu/,Hostel,"4,6 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:36.090545,lostinnporto@lostinn.eu,followup_sent,,,,
Residencial Porto Novo,"R. de Alexandre Herculano 185, 4000-053 Porto, Portugal",,http://www.residencialportonovo.com/,Residencial,"3,2 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:42.786101,info@residencialportonovo.com,followup_sent,,,,
Hotel do Norte,"Rua de Fernandes Tomás 579, 4000-217 Porto, Portugal",,http://pensao-do-norte-lda.porto.hotels-pt.net/en/,Hotel,"3,4 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:45.291401,pensaodonorte@gmail.com,followup_sent,,,,
Porto Automatic,"Região Norte PT, R. do Bonjardim 144, 4000-114 Porto, Portugal",,http://portoautomatic.com/,Hotel,"3,4 estrelas",hotel Vila Nova de Gaia,2026-03-19T20:56:56.602664,portoautomaticrooms@gmail.com,followup_sent,,,,
Sercotel Gran Hotel Zurbarán,"C. Gómez de Solís, 1, 06001 Badajoz, Espanha",,https://www.sercotelhoteles.com/es/hotel-gran-hotel-zurbaran?utm_source=google&utm_medium=referral&utm_campaign=metasearch-links,Hotel,"4,3 estrelas",hotel Maia Porto,2026-03-19T20:57:37.293864,reservas@granhotelzurbaranbadajoz.com,followup_sent,,,,
Hotel Premium Porto Maia,"R. Abel Dias Urbano 12, 3000-001 Coimbra, Portugal",+351239855800,https://www.nh-hotels.com/en/hotel/nh-coimbra-dona-ines?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,Hotel,"4,3 estrelas",hotel Maia Porto,2026-03-19T20:57:41.936679,reservations.portugal@minorhotels.pt,followup_sent,,,,
Hotel Central Parque,"Av. Visc. de Barreiros 83, 4470-151 Maia, Portugal",,http://www.hotelcentralparque.com/,Hotel,"4,3 estrelas",hotel Maia Porto,2026-03-19T20:57:46.318812,reservas@hotelcentralparque.com,followup_sent,,,,
STAY HOTEL PORTO AEROPORTO,"Rua Vasconcelos Costa 466, 4470-558 Moreira, Portugal",,https://www.stayhotels.pt/stayhotelhotelportoaeroporto/,Hotel,"4,3 estrelas",hotel Maia Porto,2026-03-19T20:57:52.894502,portoaeroporto@stayhotels.pt,followup_sent,,,,
Hotel 3K Porto Aeroporto,"R. Casimiro Albano Monteiro, 4470-428 Maia, Portugal",,https://www.hotel3kporto.com/,Hotel,"4,5 estrelas",hotel Maia Porto,2026-03-19T20:57:55.185669,geral@hotel3kporto.com,followup_sent,,,,
HOTEL PUMA,"R. Cruz das Guardeiras nº776, 4470-593 Moreira, Portugal",,http://hotelpuma.pt/,Hotel,"4,0 estrelas",hotel Maia Porto,2026-03-19T20:58:02.284112,geral@hotelpuma.pt,followup_sent,,,,
Coffee Cream Guest House Maia,"Praceta Dom João Iv, 4470-308 Maia, Portugal",+351915700050,https://www.hoteisfind.com/coffee-cream-guest-house-maia/,Guest House,"4,0 estrelas",hotel Maia Porto,2026-03-19T20:58:07.429992,floritasociados@gmail.com,followup_sent,,,,
HOTEL AEROPORTO,"R. de Pedras Rubras 157, 4470-639 Moreira, Portugal",,http://www.hotelaeroporto.com.pt/,Hotel,"3,9 estrelas",hotel Maia Porto,2026-03-19T20:58:09.823547,reservas@hotelaeroporto.com.pt,followup_sent,,,,
Oporto Airport & Business Hotel,"Rua de, R. Casimiro Albano Monteiro 35, 4470-428 Moreira, Portugal",,https://www.oportoairportbusinesshotel.com/,Hotel,"4,4 estrelas",hotel Maia Porto,2026-03-19T20:58:16.523575,info@oportoairporthotel.com,followup_sent,,,,
1 AirPorto Hostel,"R. da Estrada 244, 4470-600 Moreira, Portugal",,https://www.airportohostel.com/,Hostel,"4,3 estrelas",hotel Maia Porto,2026-03-19T20:58:18.838118,info@airportohostel.com,followup_sent,,,,
Hotel Singular Aeroporto,"Av. do Aeroporto 240, 4470-558 Maia, Portugal",+351309750135,http://www.singularhotel.pt/,Hotel,"4,5 estrelas",hotel Maia Porto,2026-03-19T20:58:20.985825,geral@singularhotel.pt,followup_sent,,,,
Hotel Areosa,"R. Gonçalo Mendes da Maia 45, 4425-656 Pedrouços, Portugal",+351309748242,http://www.hotelareosa.pt/,Hotel,"3,3 estrelas",hotel Maia Porto,2026-03-19T20:58:25.311461,geral@hotelareosa.pt,followup_sent,,,,
Oporto Fly Hotel,"R. Casimiro Albano Monteiro 46, 4470-428 Moreira, Portugal",+351934725318,http://www.oportoflyhotel.com/,Hotel,"4,7 estrelas",hotel Maia Porto,2026-03-19T20:58:39.548457,info@oportoflyhotel.com,followup_sent,,,,
Eurostars Oporto,"R. Mte. Guilherme Camarinha 212, 4200-537 Porto, Portugal",,https://www.eurostarshotels.com.pt/eurostars-oporto.html?referer_code=lb0gg00yx&utm_source=google&utm_medium=business&utm_campaign=lb0gg00yx,Hotel,"4,4 estrelas",hotel Maia Porto,2026-03-19T20:58:53.738088,reservas@eurostarsoporto.com,followup_sent,,,,
Hotel Portas de Santa Rita,"Av. Eng. Duarte Pacheco 2185, 4445-416 Ermesinde, Portugal",,http://www.hotelportasdesantarita.pt/,Hotel,"3,9 estrelas",hotel Maia Porto,2026-03-19T20:59:01.160110,cicap@cicap.pt,followup_sent,,,,
Casa Maya,"R. de Fonseca Cardoso 128, 4000-231 Porto, Portugal",,https://msha.ke/casamaya,Hotel,"4,8 estrelas",hotel Maia Porto,2026-03-19T20:59:05.646693,casamaya.porto@gmail.com,followup_sent,,,,
Hotel Porto Nobre,"Rua do Amial 838, 4200-056 Porto, Portugal",,http://www.portonobre.net/,Hotel,"4,1 estrelas",hotel Maia Porto,2026-03-19T20:59:08.241107,reservas@portonobre.net,followup_sent,,,,
Villarit Porto,"Rue Fontán, 1, 36380 Gondomar, Pontevedra, Espanha",,http://hostalpaz.es/,Hotel,"4,5 estrelas",hotel Gondomar,2026-03-19T20:59:43.287001,reservas@hostalpaz.es,followup_sent,,,,
Hotel Love,"187, Av. de Fernão de Magalhães 60, Bonfim, Portugal",,http://www.montecarloloveporto.com/,Hotel,"3,4 estrelas",hotel Gondomar,2026-03-19T20:59:50.310660,reservas@montecarloloveporto.com,followup_sent,,,,
Porto Antas Hotel,"R. Padre Manuel da Nóbrega 111, 4350-226 Porto, Portugal",,https://www.stayhotels.pt/stayhotelportocentroantas/,Hotel,"4,1 estrelas",hotel Gondomar,2026-03-19T20:59:54.984813,portoantas@stayhotels.pt,followup_sent,,,,
The Log Porto Hotel by Piamonte Hotels,"R. da Vigorosa 456, 4350-343 Porto, Portugal",,https://www.thelogportohotel.com/,Hotel,"4,2 estrelas",hotel Gondomar,2026-03-19T20:59:59.456041,booking.tlph@piamontehotels.com,followup_sent,,,,
Outsite Porto - Mouco,"Av. Escritor Costa Barreto 60, 4420-445 Porto, Portugal",,https://www.pestana.com/en/hotel/pestana-douro?utm_campaign=pestana-douro-partoo&utm_medium=organicsearch,Hotel,"4,7 estrelas",hotel Gondomar,2026-03-19T21:00:08.759176,fo.douro@pestana.com,followup_sent,,,,
TwentyOne Motel,"R. Azenha Cima 413, 4420-036 S. Cosme, Portugal",+351968509344,https://www.21motel.pt/,Hotel,"4,3 estrelas",hotel Gondomar,2026-03-19T21:00:10.988627,geral@21motel.pt,followup_sent,,,,
MEU HOTEL Porto Gandra,"R. Central da Gandra 1460, 4585-116 Gandra, Portugal",,http://www.meuhotel.pt/,Hotel,"4,3 estrelas",hotel Gondomar,2026-03-19T21:00:18.156264,marketing@meuhotel.pt,followup_sent,,,,
Quiet Point Rooms,"R. Assis Vaz 35, 4200-096 Porto, Portugal",+351911501445,https://www.booking.com/reviews/pt/hotel/quiet-view-rooms.pt-pt.html,Hotel,"4,5 estrelas",hotel Gondomar,2026-03-19T21:00:51.143759,nome@exemplo.com,followup_sent,,,,
Peach Hostel & Suites,"R. de Justino Teixeira 213, 4300-279 Porto, Portugal",,http://www.peachhostel.com/,Hostel,"4,1 estrelas",hotel Gondomar,2026-03-19T21:00:31.996268,info@peachhostel.com,followup_sent,,,,
Hospedaria Londres,"Rua da Estação n° 106, 4300-171 Porto, Portugal",,https://www.hospedarialondres.com/,Hotel,"4,6 estrelas",hotel Gondomar,2026-03-19T21:00:39.357182,hospedarialondres@hotmail.com,followup_sent,,,,
SleepBoat,"Estrada Nacional n108 Marina do freixo Pólo Fluvial do, 4300-316 Porto, Portugal",+351916990970,http://www.sleepboat.pt/,Hotel,"4,4 estrelas",hotel Gondomar,2026-03-19T21:00:41.717039,reservas@sleepboat.pt,followup_sent,,,,
Casas da Corujeira Porto,"R. Dr. Maurício Estêves Pereira Pinto 156, 4300-318 Porto, Portugal",+351927407559,https://www.casasdacorujeira.pt/,Hotel,"4,5 estrelas",hotel Gondomar,2026-03-19T21:00:53.423554,geral@casasdacorujeira.pt,followup_sent,,,,
Blissful Suites by gaiarooms,"R. Nova de São Crispim 382, 4000-362 Porto, Portugal",,https://www.gaiarooms.com/es/oporto/blissful-suites-porto,Hotel,"4,6 estrelas",hotel Gondomar,2026-03-19T21:00:55.745422,reservas@gaiarooms.com,followup_sent,,,,
Porto Surf Lodge,"R. de Naulila 51, 4350-170 Porto, Portugal",+351911721614,https://www.porto-surf-lodge.com/,Hotel,"5,0 estrelas",hotel Gondomar,2026-03-19T21:01:10.186197,info@porto-surf-lodge.com,followup_sent,,,,
Motel Avenue Valongo,"R. Regedor José Diogo nº 211, 4440-818 Valongo, Portugal",,https://valongo.motelavenue.pt/,Hotel,"4,4 estrelas",hotel Valongo,2026-03-19T21:01:52.179518,reservas@motelavenue.pt,followup_sent,,,,
Hotel Santo Andre,"Av. de Santo André, Póvoa de Varzim, Portugal",+351252615666,http://hotelsantoandre.com/,Hotel,"4,1 estrelas",hotel Valongo,2026-03-19T21:02:19.011401,reservas@hotelsantoandre.com,followup_sent,,,,
Hotel Mira D'Aire,"R. de Álvares Cabral 197, 4050-041 Porto, Portugal",,http://www.hotelmiradaire.com/,Hotel,"3,3 estrelas",hotel Valongo,2026-03-19T21:02:30.440912,geral@hotelmiradaire.com,followup_sent,,,,
GR Suites -Alojamento Local - Porto,"R. de Latino Coelho 300, 4000-099 Porto, Portugal",+351910900456,https://grsuites.pt-portugal.com/en/,Alojamento Local,"4,8 estrelas",hotel Valongo,2026-03-19T21:02:35.207362,hotel.contact.us@gmail.com,followup_sent,,,,
SOLAR PIEDADE - Our Lady of Mercy Villa,"R. Nossa Sra. Piedade nº 200, 4445-150 Alfena, Portugal",,http://www.solarpiedade.com/,Hotel,"4,5 estrelas",hotel Valongo,2026-03-19T21:02:42.313979,solarpiedade@gmail.com,followup_sent,,,,
Portugal Alma - Oporto Guesthouse,"R. José Joaquim Ribeiro Teles 1205, 4445-485 Ermesinde, Portugal",+351911973043,http://www.portugalalma.com/,Guest House,"4,6 estrelas",hotel Valongo,2026-03-19T21:02:47.018168,reservas@portugalalma.com,followup_sent,,,,
"Mo House, Alojamento Local","R. de Belomonte 81, 4050-253 Porto, Portugal",+351962407770,http://www.mohouse.pt/,Alojamento Local,"4,8 estrelas",alojamento local Porto,2026-03-19T21:03:51.913923,reservas@mohouse.pt,followup_sent,,,,
Majestic Hostel Porto,"R. da Boavista 783, 4050-110 Porto, Portugal",,http://socoolhostelporto.com/,Hostel,"3,9 estrelas",alojamento local Porto,2026-03-19T21:03:58.904438,info@socoolhostelporto.com,followup_sent,,,,
